baseline-local:
Threads | Channel | Node 0 Read | Node 0 Write | Node 1 Read | Node 1 Write | Total Iters | Total Time | Time/Iter |
      1 |       2 |     174.091 |       22.799 |     616.030 |       58.017 |         --- |        --- |       --- |
      1 |       3 |     170.437 |       19.339 |     615.756 |       57.714 |         --- |        --- |       --- |
      1 |  TOTAL  |     703.470 |       98.187 |    2471.171 |      238.254 |         110 |   1028.807 |      9.35 |

      2 |       0 |     279.525 |       28.710 |    1329.433 |       63.175 |         --- |        --- |       --- |
      2 |       1 |     271.346 |       20.730 |    1335.767 |       69.912 |         --- |        --- |       --- |
      2 |       2 |     275.544 |       24.832 |    1329.717 |       64.099 |         --- |        --- |       --- |
      2 |       3 |     278.636 |       28.343 |    1328.685 |       63.059 |         --- |        --- |       --- |
      2 |  TOTAL  |    1105.052 |      102.615 |    5323.602 |      260.245 |         250 |   1003.304 |      4.01 |

      4 |       0 |     453.086 |       26.628 |    2415.841 |       62.725 |         --- |        --- |       --- |
      4 |       1 |     459.153 |       32.786 |    2416.109 |       63.498 |         --- |        --- |       --- |
      4 |       2 |     459.103 |       32.502 |    2423.134 |       70.311 |         --- |        --- |       --- |
      4 |       3 |     452.252 |       26.147 |    2415.719 |       62.673 |         --- |        --- |       --- |
      4 |  TOTAL  |    1823.595 |      118.062 |    9670.802 |      259.208 |         479 |   1009.352 |      2.11 |

      6 |       0 |     592.640 |       31.734 |    3530.465 |       66.983 |         --- |        --- |       --- |
      6 |       1 |     588.289 |       27.644 |    3531.405 |       68.046 |         --- |        --- |       --- |
      6 |       2 |     583.534 |       22.475 |    3533.717 |       69.574 |         --- |        --- |       --- |
      6 |       3 |     589.160 |       28.581 |    3536.411 |       72.633 |         --- |        --- |       --- |
      6 |  TOTAL  |    2353.623 |      110.435 |   14131.998 |      277.236 |         701 |   1003.729 |      1.43 |

      8 |       0 |     596.683 |       37.046 |    3048.421 |       62.433 |         --- |        --- |       --- |
      8 |       1 |     595.270 |       37.149 |    3046.046 |       59.854 |         --- |        --- |       --- |
      8 |       2 |     601.052 |       42.192 |    3046.481 |       59.667 |         --- |        --- |       --- |
      8 |       3 |     598.867 |       41.200 |    3046.540 |       61.061 |         --- |        --- |       --- |
      8 |  TOTAL  |    2391.871 |      157.588 |   12187.488 |      243.014 |         614 |   1006.055 |      1.64 |

     12 |       0 |     678.320 |       18.348 |    4694.271 |       76.182 |         --- |        --- |       --- |
     12 |       1 |     680.281 |       21.395 |    4696.394 |       77.465 |         --- |        --- |       --- |
     12 |       2 |     684.913 |       25.375 |    4694.111 |       73.267 |         --- |        --- |       --- |
     12 |       3 |     683.383 |       24.401 |    4690.653 |       72.837 |         --- |        --- |       --- |
     12 |  TOTAL  |    2726.898 |       89.519 |   18775.429 |      299.752 |         922 |   1000.529 |      1.09 |

