# tracer: nop
#
# entries-in-buffer/entries-written: 9811/9811   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-1063  [011] .... 140242.089268: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 140242.089362: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [009] .... 140242.089847: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 140242.089898: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 140242.090120: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 140242.090152: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.090158: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.090263: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 140242.117050: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.117116: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1064  [011] .... 140242.117171: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1064  [011] .... 140242.117400: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-1064  [011] .... 140242.117402: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 140242.117488: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.120467: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 140242.120584: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.121176: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 140242.121516: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 140242.123886: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.125608: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.125700: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.149085: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.149182: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.152074: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.152412: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140242.158839: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1064  [011] .... 140242.158953: tlb_flush: pages:4 reason:local mm shootdown (3)
