# tracer: nop
#
# entries-in-buffer/entries-written: 10288/10288   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-3058  [004] .... 144330.453152: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144330.453207: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [005] .... 144330.453912: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 144330.453971: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144330.454529: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144330.454575: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 144330.454585: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 144330.454748: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3059  [001] .... 144330.454837: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3059  [001] .... 144330.455010: tlb_flush: pages:-1 reason:remote ipi send (4)
          <idle>-0     [000] d.h. 144330.455016: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3059  [001] .... 144330.455103: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-3059  [001] .... 144330.455105: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 144330.455542: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144330.455647: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3059  [003] .... 144330.455655: tlb_flush: pages:1 reason:remote ipi send (4)
          <idle>-0     [001] d.h. 144330.455661: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.455904: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144330.455929: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.456134: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.456218: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.456431: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.456509: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.456890: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.457015: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.457477: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.457650: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.458114: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.458328: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.458624: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.459552: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.459612: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3059  [003] .... 144330.459720: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-3059  [003] .... 144330.459742: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [003] .... 144330.459770: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 144330.459894: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.459937: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.460232: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.460268: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3059  [003] .... 144330.460356: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-3059  [003] .... 144330.460370: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [003] .... 144330.460391: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [003] .... 144330.460402: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [003] d... 144330.460530: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.460968: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.461046: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.461501: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.461734: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144330.461753: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.462101: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3059  [003] .... 144330.462279: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [003] .... 144330.462320: tlb_flush: pages:1 reason:local mm shootdown (3)
    tmux: server-7041  [005] .... 144330.462327: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 144330.462737: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3059  [003] .... 144330.462978: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 144330.463065: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] dn.. 144330.463175: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144330.463179: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144330.463236: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 144330.463297: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144330.463333: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 144330.463373: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 144330.463381: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144330.463457: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144330.463480: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144330.463501: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144330.463511: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3059  [010] .... 144330.463598: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [010] .... 144330.463617: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [010] .... 144330.463630: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [010] .... 144330.463642: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [010] .... 144330.463654: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [010] .... 144330.463666: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [010] .... 144330.463679: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [010] .... 144330.463690: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3059  [010] .... 144330.463703: tlb_flush: pages:1 reason:local mm shootdown (3)
