# tracer: nop
#
# entries-in-buffer/entries-written: 5911/5911   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-6503  [009] .... 151812.150308: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 151812.150391: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [008] .... 151812.150851: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 151812.150896: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 151812.151726: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.151764: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 151812.151773: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.151828: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.165252: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.165340: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.165374: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6504  [005] .... 151812.165427: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6504  [005] .... 151812.165760: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.165762: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 151812.165845: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.165931: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 151812.166063: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.166612: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 151812.166669: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.166741: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.166803: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.177014: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.177112: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.186257: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.186360: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.186864: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.187126: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.187445: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.187704: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.188150: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6504  [005] .... 151812.188266: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.188292: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.188309: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 151812.188793: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.188813: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6504  [005] .... 151812.188917: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.188933: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.188957: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.188969: tlb_flush: pages:20 reason:local mm shootdown (3)
          <idle>-0     [005] d... 151812.189455: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.193092: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.193150: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.193870: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.194048: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 151812.194084: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151812.194183: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [001] .... 151812.194207: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 151812.194278: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6504  [005] .... 151812.194308: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.194339: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.194610: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 151812.194674: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 151812.194795: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 151812.194857: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 151812.194958: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6504  [005] .... 151812.194970: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.194980: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.194988: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.194995: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195012: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195021: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195029: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195035: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195043: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195050: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195058: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195065: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195073: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195080: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195087: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195094: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195101: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195108: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195115: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195122: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195129: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195136: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195143: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195149: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195156: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195163: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195171: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195178: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195185: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195192: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195199: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195206: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195214: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195220: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195227: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195234: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6504  [005] .... 151812.195241: tlb_flush: pages:1 reason:local mm shootdown (3)
