# tracer: nop
#
# entries-in-buffer/entries-written: 5728/5728   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-6418  [009] .... 151554.373095: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151554.373150: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [010] .... 151554.373751: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 151554.373816: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151554.374064: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 151554.374121: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.374134: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.374202: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.374423: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.374546: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.374582: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6419  [011] .... 151554.374636: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6419  [011] .... 151554.374902: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-6419  [011] .... 151554.374904: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 151554.374983: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.375116: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151554.375218: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.375400: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151554.375526: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.375647: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.375707: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.375931: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.376013: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.376388: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.376521: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.377000: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.377163: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.377639: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.377854: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.378159: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.378404: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.378869: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6419  [011] .... 151554.378970: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-6419  [011] .... 151554.378996: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [011] .... 151554.379013: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [011] .... 151554.379798: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-6419  [011] .... 151554.379813: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [011] .... 151554.379841: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [011] .... 151554.379854: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [011] d... 151554.381230: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 151554.381329: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [011] .... 151554.381861: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [006] .... 151554.381908: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [006] .... 151554.381963: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 151554.381995: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6419  [006] .... 151554.382443: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 151554.382545: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.382704: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.382761: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151554.382839: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 151554.382909: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 151554.383021: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6419  [006] .... 151554.383073: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [006] .... 151554.383091: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [006] .... 151554.383103: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [006] .... 151554.383115: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [006] .... 151554.383128: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [006] .... 151554.383141: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6419  [006] .... 151554.383154: tlb_flush: pages:1 reason:local mm shootdown (3)
