# tracer: nop
#
# entries-in-buffer/entries-written: 11512/11512   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-8421  [003] .... 155554.687851: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 155554.687949: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [004] .... 155554.688442: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 155554.688488: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 155554.688706: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.688721: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 155554.688729: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.688779: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.703605: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.703694: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.703725: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8422  [000] .... 155554.703773: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8422  [000] .... 155554.704002: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-8422  [000] .... 155554.704004: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [000] d... 155554.704076: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.704184: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 155554.704274: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.704493: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 155554.704518: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.711583: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.711699: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.719507: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.719621: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.720247: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.720724: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.724642: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.725007: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.725508: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8422  [000] .... 155554.725639: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-8422  [000] .... 155554.725661: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [000] .... 155554.725679: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [000] d... 155554.725835: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.725866: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8422  [000] .... 155554.726364: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-8422  [000] .... 155554.726379: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [000] .... 155554.726404: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [000] .... 155554.726418: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [000] d... 155554.726890: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.735168: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.735561: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.742329: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155554.742522: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155554.742566: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [002] .... 155554.742711: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [004] d... 155554.742722: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155554.742742: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155554.742745: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155554.742859: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8422  [004] .... 155554.742941: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.742989: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.743452: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [002] d... 155554.743552: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155554.743810: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 155554.743833: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 155554.743889: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 155554.743905: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 155554.743921: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 155554.743938: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8422  [004] .... 155554.744026: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744028: tlb_flush: pages:1 reason:remote ipi send (4)
          <idle>-0     [005] d.h. 155554.744032: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8422  [004] .... 155554.744047: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744058: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744069: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744080: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744091: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744102: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744113: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744124: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744135: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744147: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744158: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744169: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744180: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744191: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744201: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744212: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744223: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744249: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744260: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744271: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744292: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744298: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744305: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744312: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744319: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744326: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744333: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744340: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744347: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744354: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744361: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744369: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744376: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744382: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744389: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744396: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744402: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744409: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744416: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744423: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744430: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744436: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744443: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744450: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744456: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744463: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744470: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744476: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8422  [004] .... 155554.744483: tlb_flush: pages:1 reason:local mm shootdown (3)
