# tracer: nop
#
# entries-in-buffer/entries-written: 30289/30289   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
    pcm-memory.x-7518  [004] ....  1930.184363: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184374: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184385: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184396: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184407: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184419: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184430: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184441: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184452: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184463: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184476: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184487: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184498: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184509: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184519: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184530: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184540: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184551: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184562: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184573: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184584: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184595: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184606: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184617: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184628: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.184639: tlb_flush: pages:1 reason:local mm shootdown (3)
