# tracer: nop
#
# entries-in-buffer/entries-written: 7656/7656   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-8769  [004] .... 156194.211117: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 156194.211203: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [005] .... 156194.211772: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 156194.211836: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 156194.212315: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.212316: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 156194.212325: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.212358: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.226110: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.226160: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.226199: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8770  [008] .... 156194.226233: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8770  [008] .... 156194.226543: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-8770  [008] .... 156194.226545: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 156194.226628: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.226769: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156194.226872: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.227069: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156194.227174: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.227280: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.227341: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.237488: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.237602: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.245415: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.245535: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.246143: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.246390: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 156194.257240: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8770  [008] .... 156194.258117: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-8770  [008] .... 156194.258142: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8770  [008] .... 156194.258160: tlb_flush: pages:1 reason:local mm shootdown (3)
