# tracer: nop
#
# entries-in-buffer/entries-written: 8592/8592   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-1270  [002] .... 140622.636935: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 140622.637014: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [001] .... 140622.637464: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 140622.637524: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 140622.637749: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 140622.637839: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 140622.637844: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 140622.637906: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 140622.656593: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 140622.657028: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140622.657028: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1271  [004] .... 140622.657066: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1271  [004] .... 140622.657231: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-1271  [004] .... 140622.657233: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [004] d... 140622.657316: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140622.657774: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 140622.657830: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140622.657990: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 140622.658029: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140622.658253: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140622.658350: tlb_flush: pages:-1 reason:flush on task switch (0)
