# tracer: nop
#
# entries-in-buffer/entries-written: 7500/7500   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-8656  [008] .... 155938.662660: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 155938.662751: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [010] .... 155938.663212: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 155938.663260: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 155938.663494: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.663856: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155938.663865: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.663961: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.664004: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8657  [001] .... 155938.664058: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8657  [001] .... 155938.664449: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-8657  [001] .... 155938.664451: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 155938.664872: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.664878: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155938.664973: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.665243: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155938.665300: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.683668: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.683780: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.691617: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.691733: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.692344: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.692807: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.696717: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.697136: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.697640: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8657  [001] .... 155938.697780: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-8657  [001] .... 155938.697807: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8657  [001] .... 155938.697826: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8657  [001] .... 155938.698531: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-8657  [001] .... 155938.698548: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8657  [001] .... 155938.698574: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8657  [001] .... 155938.698588: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [001] d... 155938.699112: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.707249: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.707331: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.714394: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155938.714600: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 155938.714642: tlb_flush: pages:-1 reason:flush on task switch (0)
