# tracer: nop
#
# entries-in-buffer/entries-written: 8447/8447   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-1437  [000] .... 141129.813722: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 141129.813800: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [001] .... 141129.814352: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 141129.814416: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 141129.814961: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 141129.815042: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 141129.815052: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1438  [008] .... 141129.815617: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1438  [008] .... 141129.815947: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-1438  [008] .... 141129.815949: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 141129.816639: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 141129.816959: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1438  [008] .... 141129.819541: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-1438  [008] .... 141129.819556: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1438  [008] .... 141129.819568: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1438  [008] .... 141129.820163: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-1438  [008] .... 141129.820173: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1438  [008] .... 141129.820190: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1438  [008] .... 141129.820198: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [008] d... 141129.821519: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 141129.821729: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [008] .... 141129.821774: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 141129.821851: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1438  [009] .... 141129.821877: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1438  [009] .... 141129.821916: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1438  [009] .... 141129.822586: tlb_flush: pages:1 reason:local mm shootdown (3)
  kworker/u130:0-1200  [008] d... 141129.822632: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 141129.822724: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 141129.822812: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 141129.822836: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 141129.822845: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 141129.822875: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 141129.822894: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1438  [009] .... 141129.823026: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1438  [009] .... 141129.823027: tlb_flush: pages:1 reason:remote ipi send (4)
          <idle>-0     [010] d.h. 141129.823030: tlb_flush: pages:-1 reason:flush on task switch (0)
