# tracer: nop
#
# entries-in-buffer/entries-written: 8591/8591   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-1181  [011] .... 140368.974729: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 140368.974808: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [009] .... 140368.975293: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 140368.975348: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 140368.975928: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 140368.975977: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140368.975986: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140368.976092: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140368.985412: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140368.985512: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.021137: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1182  [004] .... 140369.021202: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1182  [004] .... 140369.021442: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-1182  [004] .... 140369.021444: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [004] d... 140369.021514: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.024369: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 140369.024481: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.024629: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 140369.024723: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.035230: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.035317: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.043377: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.043738: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.051318: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.052379: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.056418: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.056571: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.063105: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.063329: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.063834: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1182  [004] .... 140369.063951: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-1182  [004] .... 140369.063969: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1182  [004] .... 140369.063982: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [004] d... 140369.064087: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140369.064169: tlb_flush: pages:-1 reason:flush on task switch (0)
