# tracer: nop
#
# entries-in-buffer/entries-written: 13160/13160   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-4691  [011] .... 147752.656111: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147752.656178: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [006] .... 147752.657138: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 147752.657167: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147752.657395: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147752.657438: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.657448: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.657549: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.657617: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4692  [007] .... 147752.657692: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4692  [007] .... 147752.657984: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-4692  [007] .... 147752.657986: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [006] d... 147752.658498: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.658742: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147752.658748: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.664677: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.665429: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.673836: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.673910: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.674446: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.674541: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.686003: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.686235: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.686892: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4692  [007] .... 147752.686971: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-4692  [007] .... 147752.686987: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [007] .... 147752.686998: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 147752.687116: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.687239: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.687509: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.687586: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4692  [007] .... 147752.687659: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-4692  [007] .... 147752.687670: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [007] .... 147752.687686: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [007] .... 147752.687695: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [007] d... 147752.687808: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.697424: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.697481: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.698360: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.698539: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147752.698577: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.698724: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [006] .... 147752.698796: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [007] .... 147752.698861: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [006] d... 147752.699190: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4692  [007] .... 147752.699200: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [007] .... 147752.699476: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [006] d... 147752.699553: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147752.699630: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147752.699658: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147752.699682: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147752.699687: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147752.700027: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 147752.700050: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147752.700091: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 147752.700104: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 147752.700128: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 147752.700186: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 147752.700201: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 147752.700260: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 147752.700277: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4692  [004] .... 147752.700312: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700330: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700341: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700352: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700363: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700374: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700386: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700397: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700408: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700419: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700431: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700442: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700453: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700464: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700475: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700486: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700497: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700508: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700520: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700530: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700541: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700552: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700563: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700573: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700584: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700598: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700610: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700621: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4692  [004] .... 147752.700632: tlb_flush: pages:1 reason:local mm shootdown (3)
