# tracer: nop
#
# entries-in-buffer/entries-written: 30029/30029   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-8005  [010] ....  2591.255594: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  2591.255679: tlb_flush: pages:-1 reason:flush on task switch (0)
          exp.py-7285  [011] ....  2591.256216: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d...  2591.256285: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  2591.256811: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d...  2591.256847: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d...  2591.256856: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d...  2591.256949: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  2591.257224: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8006  [004] ....  2591.257286: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8006  [004] ....  2591.257572: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-8006  [004] ....  2591.257574: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [004] d...  2591.257662: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  2591.258423: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  2591.258519: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  2591.258791: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  2591.261357: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d...  2591.268496: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d...  2591.268609: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  2591.276437: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  2591.276557: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  2591.277163: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  2591.277293: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d...  2591.281542: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d...  2591.281937: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  2591.282406: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8006  [004] ....  2591.282515: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-8006  [004] ....  2591.282534: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8006  [004] ....  2591.282551: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [004] d...  2591.282718: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  2591.282772: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8006  [003] ....  2591.283241: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-8006  [003] ....  2591.283254: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8006  [003] ....  2591.283277: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8006  [003] ....  2591.283290: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [003] d...  2591.283428: tlb_flush: pages:-1 reason:flush on task switch (0)
