# tracer: nop
#
# entries-in-buffer/entries-written: 27230/27230   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
    pcm-memory.x-7364  [008] ....  1669.097533: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097541: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097548: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097555: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097562: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097569: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097576: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097583: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097590: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097597: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097604: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097612: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097619: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097626: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097634: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097640: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097649: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097655: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097671: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097677: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097685: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097691: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097698: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097705: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097712: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097718: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097725: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097732: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097738: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097745: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097752: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097759: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097766: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097773: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097779: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097786: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097793: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097799: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097806: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097813: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097819: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097826: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097833: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097839: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097846: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097853: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097859: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097866: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097874: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097882: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097889: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097896: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097904: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097911: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097919: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097926: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097933: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097940: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097948: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097955: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097962: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097969: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.097977: tlb_flush: pages:1 reason:local mm shootdown (3)
