# tracer: nop
#
# entries-in-buffer/entries-written: 27445/27445   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-9928  [010] ....  6010.756386: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  6010.756462: tlb_flush: pages:-1 reason:flush on task switch (0)
          exp.py-7285  [011] ....  6010.756980: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [001] d...  6010.757046: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  6010.757595: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d...  6010.757624: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d...  6010.757633: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d...  6010.757682: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  6010.783072: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  6010.783179: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d...  6010.783244: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-9929  [005] ....  6010.783311: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-9929  [005] ....  6010.783601: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-9929  [005] ....  6010.783603: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d...  6010.783695: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.783828: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d...  6010.783970: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.784214: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d...  6010.784278: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.790949: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.791056: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.796611: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.796733: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.805847: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.805974: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.806489: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.806670: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.817982: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.818194: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.818686: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.819373: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  6010.819423: tlb_flush: pages:-1 reason:flush on task switch (0)
