# tracer: nop
#
# entries-in-buffer/entries-written: 10841/10841   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-2931  [011] .... 143949.627444: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 143949.627524: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [009] .... 143949.627994: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 143949.628059: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 143949.628577: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.628622: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 143949.628631: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.628726: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.628771: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-2932  [004] .... 143949.628822: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-2932  [004] .... 143949.629152: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-2932  [004] .... 143949.629154: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [004] d... 143949.629236: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.629311: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 143949.629414: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.629609: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 143949.629682: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.629890: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.629991: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.630174: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.630250: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.630632: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.630742: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.631172: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.631406: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.631712: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.632029: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143949.632465: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-2932  [004] .... 143949.632598: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-2932  [004] .... 143949.632625: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2932  [004] .... 143949.632643: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2932  [004] .... 143949.633273: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-2932  [004] .... 143949.633290: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2932  [004] .... 143949.633316: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2932  [004] .... 143949.633330: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [004] d... 143949.633487: tlb_flush: pages:-1 reason:flush on task switch (0)
