# tracer: nop
#
# entries-in-buffer/entries-written: 13247/13247   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-3156  [002] .... 144583.342309: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.342382: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [004] .... 144583.342810: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 144583.342868: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.343093: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144583.343180: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144583.343188: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144583.343241: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 144583.363566: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 144583.363651: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144583.363728: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3157  [003] .... 144583.363785: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3157  [003] .... 144583.364077: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-3157  [003] .... 144583.364079: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 144583.364487: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.364500: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144583.364560: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.364712: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144583.364721: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.391902: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.391973: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.401119: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.401196: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.401697: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.401803: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 144583.404440: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 144583.404559: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144583.404581: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.404632: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.404658: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.404805: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144583.404816: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144583.404822: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144583.404826: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144583.404841: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144583.404847: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] dn.. 144583.404863: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.404866: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.404869: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144583.404896: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144583.404929: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144583.404935: tlb_flush: pages:-1 reason:flush on task switch (0)
