# tracer: nop
#
# entries-in-buffer/entries-written: 11188/11188   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-3097  [011] .... 144456.601959: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 144456.602045: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [010] .... 144456.602885: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 144456.602914: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 144456.603152: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144456.603171: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144456.603180: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144456.603294: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144456.603364: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3098  [005] .... 144456.603428: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3098  [005] .... 144456.603738: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-3098  [005] .... 144456.603740: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 144456.603819: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144456.603925: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144456.604037: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144456.604229: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144456.604414: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144456.604508: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144456.604608: tlb_flush: pages:-1 reason:flush on task switch (0)
