# tracer: nop
#
# entries-in-buffer/entries-written: 7570/7570   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-6704  [003] .... 152327.180379: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 152327.180467: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [002] .... 152327.180953: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 152327.181017: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 152327.181273: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 152327.181297: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.181312: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.181414: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.181639: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.181721: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.181761: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6705  [009] .... 152327.181823: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6705  [009] .... 152327.182181: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-6705  [009] .... 152327.182183: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 152327.182740: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.182965: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.183447: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 152327.183448: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.186045: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.186393: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6705  [009] .... 152327.186500: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-6705  [009] .... 152327.186524: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [009] .... 152327.186540: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 152327.186722: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.186740: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6705  [009] .... 152327.187302: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-6705  [009] .... 152327.187317: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [009] .... 152327.187350: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [009] .... 152327.187363: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [009] d... 152327.187527: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.187993: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 152327.188828: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6705  [009] .... 152327.189077: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [009] .... 152327.189128: tlb_flush: pages:1 reason:local mm shootdown (3)
    tmux: server-7041  [011] .... 152327.189155: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 152327.189890: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6705  [009] .... 152327.190173: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 152327.190277: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 152327.190433: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 152327.190439: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 152327.190532: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152327.190585: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 152327.190658: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 152327.190953: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152327.190960: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 152327.190963: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 152327.190971: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 152327.191064: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 152327.191094: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6705  [003] .... 152327.191142: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [003] .... 152327.191158: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [003] .... 152327.191169: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [003] .... 152327.191180: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [003] .... 152327.191193: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [003] .... 152327.191204: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [003] .... 152327.191215: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [003] .... 152327.191226: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [003] .... 152327.191237: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [003] .... 152327.191248: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6705  [003] .... 152327.191259: tlb_flush: pages:1 reason:local mm shootdown (3)
