# tracer: nop
#
# entries-in-buffer/entries-written: 12053/12053   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-5104  [005] .... 148761.499987: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148761.500073: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [000] .... 148761.500571: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 148761.500638: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148761.500806: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 148761.500929: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.500941: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.501005: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.520860: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.520935: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.520974: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5105  [009] .... 148761.521041: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5105  [009] .... 148761.521360: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-5105  [009] .... 148761.521362: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 148761.521911: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.522115: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148761.522226: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.522360: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.522432: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.540505: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.541806: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.548411: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.548498: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.549132: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.549227: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.553798: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.553919: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.554325: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.554523: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.555028: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5105  [009] .... 148761.555103: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-5105  [009] .... 148761.555119: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5105  [009] .... 148761.555129: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 148761.555255: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.555345: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.555647: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.555687: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5105  [009] .... 148761.555772: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-5105  [009] .... 148761.555781: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5105  [009] .... 148761.555797: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5105  [009] .... 148761.555805: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [009] d... 148761.555893: tlb_flush: pages:-1 reason:flush on task switch (0)
     kworker/9:1-101   [009] d... 148761.564050: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.564110: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.571215: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.571398: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.571422: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148761.571769: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [009] .... 148761.571892: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5105  [010] .... 148761.571911: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5105  [010] .... 148761.571946: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 148761.571965: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5105  [010] .... 148761.572249: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 148761.572357: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.572477: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.572499: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148761.572580: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 148761.572628: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148761.572957: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148761.572961: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 148761.572994: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 148761.573013: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 148761.573029: tlb_flush: pages:-1 reason:flush on task switch (0)
