# tracer: nop
#
# entries-in-buffer/entries-written: 12096/12096   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-4925  [001] .... 148255.897319: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148255.897368: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [005] .... 148255.897831: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [000] d... 148255.897874: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.898428: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148255.898432: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148255.898433: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.898554: tlb_flush: pages:-1 reason:flush on task switch (0)
     kworker/7:0-15813 [007] d... 148255.898623: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4926  [007] .... 148255.898702: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4926  [007] .... 148255.899084: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-4926  [007] .... 148255.899086: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 148255.899181: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.899307: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 148255.899428: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.899646: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 148255.899768: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.899992: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.900105: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.914109: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.914224: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.922039: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.922157: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.922774: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.922935: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.927141: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.927347: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.927731: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.928417: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.928906: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4926  [007] .... 148255.929007: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-4926  [007] .... 148255.929025: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4926  [007] .... 148255.929036: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 148255.929162: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.929238: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.929522: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.929580: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4926  [007] .... 148255.929662: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-4926  [007] .... 148255.929672: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4926  [007] .... 148255.929688: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4926  [007] .... 148255.929696: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [007] d... 148255.929797: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.937682: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.937740: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148255.944843: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 148255.945363: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4926  [007] .... 148255.945493: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4926  [007] .... 148255.945532: tlb_flush: pages:1 reason:local mm shootdown (3)
    tmux: server-7041  [008] .... 148255.945603: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 148255.945645: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4926  [007] .... 148255.945816: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 148255.945891: tlb_flush: pages:-1 reason:flush on task switch (0)
