# tracer: nop
#
# entries-in-buffer/entries-written: 5749/5749   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-6381  [000] .... 151425.827100: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151425.827153: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [005] .... 151425.827600: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 151425.827662: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 151425.828437: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151425.828548: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 151425.828556: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151425.834661: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151425.834704: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6382  [010] .... 151425.834794: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6382  [010] .... 151425.835121: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-6382  [010] .... 151425.835123: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 151425.835675: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151425.836160: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151425.838258: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151425.838499: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6382  [010] .... 151425.840975: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-6382  [010] .... 151425.840991: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [010] .... 151425.841002: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [010] .... 151425.841592: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-6382  [010] .... 151425.841602: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [010] .... 151425.841619: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [010] .... 151425.841626: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [006] d... 151425.842950: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6382  [010] .... 151425.843218: tlb_flush: pages:1 reason:local mm shootdown (3)
    tmux: server-7041  [006] .... 151425.843236: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [010] .... 151425.843254: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [006] d... 151425.843326: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6382  [010] .... 151425.843527: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [006] d... 151425.843600: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 151425.843681: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 151425.843714: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 151425.843799: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 151425.843846: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151425.843884: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 151425.843918: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 151425.843930: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 151425.843976: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 151425.843989: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6382  [004] .... 151425.844067: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844083: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844094: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844105: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844116: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844130: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844141: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844152: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844163: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844175: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844186: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844197: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844208: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844219: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844231: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844242: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844254: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844265: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844276: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844287: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844298: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844308: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844319: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844329: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844340: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844351: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844362: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844373: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844385: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844396: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844407: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844417: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844430: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844440: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844451: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844462: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844473: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844483: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844494: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844505: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844515: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844526: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844537: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844547: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844558: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6382  [004] .... 151425.844569: tlb_flush: pages:1 reason:local mm shootdown (3)
