# tracer: nop
#
# entries-in-buffer/entries-written: 7654/7654   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-8717  [008] .... 156066.624631: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156066.624713: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [009] .... 156066.625262: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 156066.625331: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156066.625874: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.625890: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 156066.625893: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.625980: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.626027: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8718  [010] .... 156066.626097: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8718  [010] .... 156066.626351: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.626353: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 156066.626846: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.627028: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156066.627379: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.635513: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.635598: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.643447: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.643513: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.644162: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.644405: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.644901: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8718  [010] .... 156066.644981: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.644997: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.645008: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 156066.645709: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.645845: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8718  [010] .... 156066.645924: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.645934: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.645950: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.645958: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [010] d... 156066.646054: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.650747: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.650805: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.657917: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.658116: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156066.658152: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [009] .... 156066.658381: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 156066.658433: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156066.658569: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156066.658620: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156066.658676: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8718  [010] .... 156066.658697: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.658729: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659006: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 156066.659084: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156066.659167: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156066.659216: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 156066.659273: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 156066.659300: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 156066.659317: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 156066.659352: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 156066.659375: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8718  [010] .... 156066.659402: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659412: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659420: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659427: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659434: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659441: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659448: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659455: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659463: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659470: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659477: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659484: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659491: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659499: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659506: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659513: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659520: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659527: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659534: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659541: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659547: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659554: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659561: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659568: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659574: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659582: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659589: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659596: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659604: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659611: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659618: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659625: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659633: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659640: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659647: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659654: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659661: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659668: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659674: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659681: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659687: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659694: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659700: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659707: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659714: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659720: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8718  [010] .... 156066.659727: tlb_flush: pages:1 reason:local mm shootdown (3)
