# tracer: nop
#
# entries-in-buffer/entries-written: 12216/12216   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-5017  [005] .... 148508.965571: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148508.965647: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [000] .... 148508.966078: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [002] d... 148508.966125: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148508.966340: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.966695: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 148508.966702: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.966857: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.966911: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5018  [010] .... 148508.966984: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5018  [010] .... 148508.967346: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-5018  [010] .... 148508.967348: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 148508.967446: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.967573: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 148508.967687: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.967922: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 148508.967992: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.968132: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.968202: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.968385: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.968450: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.968962: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.969040: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.969586: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.969768: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148508.970103: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5018  [010] .... 148508.970845: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-5018  [010] .... 148508.970861: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5018  [010] .... 148508.970873: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5018  [010] .... 148508.971825: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-5018  [010] .... 148508.971836: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5018  [010] .... 148508.971863: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5018  [010] .... 148508.971878: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [007] d... 148508.973496: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [007] .... 148508.973827: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 148508.973908: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5018  [010] .... 148508.973928: tlb_flush: pages:1 reason:local mm shootdown (3)
