# tracer: nop
#
# entries-in-buffer/entries-written: 8719/8719   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-795   [000] .... 139988.117808: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 139988.117863: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [001] .... 139988.118526: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 139988.118591: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 139988.119091: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 139988.119161: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 139988.119172: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 139988.119229: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 139988.119275: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 139988.119342: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 139988.119383: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-796   [010] .... 139988.119434: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-796   [010] .... 139988.119806: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-796   [010] .... 139988.119808: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 139988.119890: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 139988.120026: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 139988.120129: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 139988.120243: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 139988.120316: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 139988.120364: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 139988.120424: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 139988.120465: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-796   [010] .... 139988.121547: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-796   [010] .... 139988.121573: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-796   [010] .... 139988.121591: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-796   [010] .... 139988.122363: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-796   [010] .... 139988.122379: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-796   [010] .... 139988.122406: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-796   [010] .... 139988.122419: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [007] d... 139988.123188: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-796   [010] .... 139988.123304: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-796   [010] .... 139988.123357: tlb_flush: pages:1 reason:local mm shootdown (3)
    tmux: server-7041  [007] .... 139988.123508: tlb_flush: pages:1 reason:local mm shootdown (3)
