# tracer: nop
#
# entries-in-buffer/entries-written: 8561/8561   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-1223  [003] .... 140496.018325: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140496.018404: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [004] .... 140496.018866: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 140496.018924: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140496.019473: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.019589: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 140496.019610: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.019748: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.020093: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1224  [011] .... 140496.020170: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1224  [011] .... 140496.020500: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-1224  [011] .... 140496.020502: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 140496.020597: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.021398: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 140496.021514: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.021776: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 140496.021829: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.022099: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.022202: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.022428: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.022528: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.022914: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.023079: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.023557: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.023718: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.024435: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.024638: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.024974: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.025310: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.025773: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1224  [011] .... 140496.025915: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-1224  [011] .... 140496.025949: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1224  [011] .... 140496.025967: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1224  [011] .... 140496.026753: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-1224  [011] .... 140496.026769: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1224  [011] .... 140496.026797: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1224  [011] .... 140496.026811: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [011] d... 140496.026987: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.027464: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.027563: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.028043: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140496.028364: tlb_flush: pages:-1 reason:flush on task switch (0)
