# tracer: nop
#
# entries-in-buffer/entries-written: 13272/13272   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-4777  [010] .... 147879.073896: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 147879.073958: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [009] .... 147879.074459: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 147879.074509: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 147879.075072: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.075099: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147879.075103: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.075159: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.089407: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.089484: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.089519: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4778  [005] .... 147879.089569: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4778  [005] .... 147879.089876: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-4778  [005] .... 147879.089878: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 147879.089948: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.090033: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 147879.090136: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.090382: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 147879.090434: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.098023: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.098121: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.107242: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.107704: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.107799: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.107881: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.119391: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.119623: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.120206: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4778  [005] .... 147879.120284: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-4778  [005] .... 147879.120298: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [005] .... 147879.120326: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 147879.120435: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.120508: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.120746: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.120865: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4778  [005] .... 147879.120936: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-4778  [005] .... 147879.120945: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [005] .... 147879.120961: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [005] .... 147879.120970: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [005] d... 147879.121060: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.130752: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.130811: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.131531: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.131700: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 147879.131737: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.131848: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [002] .... 147879.131869: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [005] .... 147879.131971: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [005] .... 147879.132004: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [002] d... 147879.132011: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4778  [005] .... 147879.132271: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [002] d... 147879.132618: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 147879.132774: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147879.132796: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 147879.132841: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 147879.132850: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147879.132872: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 147879.132939: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 147879.132963: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147879.132989: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147879.133015: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4778  [007] .... 147879.133044: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133061: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133080: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133091: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133102: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133113: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133125: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133136: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133147: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133158: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133170: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133181: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133193: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133204: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133216: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133227: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133239: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133250: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133261: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133272: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133283: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133294: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133304: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133335: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133349: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133361: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133373: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133384: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133397: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133409: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133420: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133431: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133444: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133455: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133466: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133476: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133487: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133498: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133508: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133519: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133530: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133541: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133551: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133562: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133573: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133583: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133594: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133605: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133615: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133626: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133637: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133648: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133658: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133669: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133681: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133692: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133703: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133714: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133725: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133736: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133747: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133758: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133768: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133779: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133792: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133803: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133814: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133827: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133839: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133850: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133862: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133873: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133885: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133896: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133907: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133918: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133930: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133941: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133952: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133964: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133975: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133986: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.133997: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134008: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134020: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134032: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134044: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134056: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134067: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134079: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134090: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134102: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134113: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134124: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134136: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134147: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134159: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134170: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134181: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134192: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134203: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134215: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134226: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134237: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134249: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134261: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134272: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134283: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134295: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134306: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134326: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134339: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134351: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134363: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134375: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134386: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134397: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134408: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134420: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134431: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134442: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134454: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134465: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134476: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134488: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134499: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134510: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134521: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134532: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134544: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134555: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134566: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134579: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134591: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134602: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134614: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4778  [007] .... 147879.134625: tlb_flush: pages:1 reason:local mm shootdown (3)
