# tracer: nop
#
# entries-in-buffer/entries-written: 8499/8499   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-1394  [004] .... 141002.994098: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 141002.994175: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [003] .... 141002.994993: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 141002.995019: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 141002.995266: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 141002.995301: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 141002.995301: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 141002.995407: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 141002.995626: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1395  [005] .... 141002.995688: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1395  [005] .... 141002.995946: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-1395  [005] .... 141002.995948: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 141002.996026: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 141002.996484: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 141002.996603: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141002.997143: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 141002.997163: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 141002.997163: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141002.997241: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.004774: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.004891: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.012709: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.012828: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.013438: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.013693: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.014024: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.014310: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.014730: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1395  [000] .... 141003.014869: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-1395  [000] .... 141003.014896: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1395  [000] .... 141003.014914: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [000] d... 141003.015427: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.015442: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1395  [000] .... 141003.015567: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-1395  [000] .... 141003.015584: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1395  [000] .... 141003.015609: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1395  [000] .... 141003.015623: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [000] d... 141003.015772: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.020012: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.020884: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.027174: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.027378: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 141003.027415: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 141003.027570: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [002] .... 141003.027633: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1395  [000] .... 141003.027702: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [002] d... 141003.028023: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1395  [000] .... 141003.028033: tlb_flush: pages:1 reason:local mm shootdown (3)
