# tracer: nop
#
# entries-in-buffer/entries-written: 11001/11001   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-3385  [010] .... 144964.180247: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144964.180350: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [005] .... 144964.180824: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 144964.180889: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144964.181110: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 144964.181476: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144964.181487: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3386  [006] .... 144964.182290: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3386  [006] .... 144964.182594: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-3386  [006] .... 144964.182596: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 144964.182929: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 144964.183335: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3386  [006] .... 144964.185749: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-3386  [006] .... 144964.185772: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3386  [006] .... 144964.185789: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3386  [006] .... 144964.186520: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-3386  [006] .... 144964.186535: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3386  [006] .... 144964.186560: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3386  [006] .... 144964.186573: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [008] d... 144964.188280: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3386  [006] .... 144964.188407: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3386  [006] .... 144964.188439: tlb_flush: pages:1 reason:local mm shootdown (3)
    tmux: server-7041  [008] .... 144964.188535: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 144964.188568: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3386  [006] .... 144964.188719: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 144964.188766: tlb_flush: pages:-1 reason:flush on task switch (0)
