# tracer: nop
#
# entries-in-buffer/entries-written: 7769/7769   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-8872  [000] .... 156449.793687: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 156449.793747: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [005] .... 156449.794258: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 156449.794322: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 156449.794844: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.794930: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 156449.794947: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.795079: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.795175: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8873  [011] .... 156449.795242: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8873  [011] .... 156449.795575: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-8873  [011] .... 156449.795577: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 156449.795665: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.795807: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 156449.795929: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.796195: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 156449.796202: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.799751: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.799854: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.800186: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.800297: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.800684: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.800800: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.801293: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.801452: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.801934: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.802750: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.802764: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.802926: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.803404: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8873  [011] .... 156449.803492: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-8873  [011] .... 156449.803513: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8873  [011] .... 156449.803524: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 156449.803649: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.803731: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.804009: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.804022: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8873  [011] .... 156449.804117: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-8873  [011] .... 156449.804126: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8873  [011] .... 156449.804143: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8873  [011] .... 156449.804151: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [011] d... 156449.804248: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.804842: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156449.804900: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 156449.805453: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 156449.805658: tlb_flush: pages:-1 reason:flush on task switch (0)
