# tracer: nop
#
# entries-in-buffer/entries-written: 5941/5941   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-6456  [009] .... 151683.112836: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 151683.112920: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [008] .... 151683.113453: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 151683.113518: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 151683.113742: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 151683.113770: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 151683.113781: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6457  [009] .... 151683.113981: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6457  [009] .... 151683.114225: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.114227: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 151683.114769: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 151683.115039: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 151683.117594: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 151683.118066: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6457  [009] .... 151683.118190: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.118215: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.118256: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 151683.119028: tlb_flush: pages:-1 reason:flush on task switch (0)
           sleep-6445  [003] .... 151683.119164: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 151683.119238: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6457  [009] .... 151683.119284: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.119300: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.119326: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.119339: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [009] d... 151683.119504: tlb_flush: pages:-1 reason:flush on task switch (0)
        ksmtuned-4465  [000] .... 151683.119586: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 151683.119633: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 151683.120027: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 151683.120035: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 151683.120104: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 151683.120578: tlb_flush: pages:-1 reason:flush on task switch (0)
        ksmtuned-6458  [010] .... 151683.120611: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 151683.120663: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 151683.120799: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 151683.120865: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 151683.120868: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151683.120880: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 151683.120885: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 151683.120947: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 151683.121056: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [011] .... 151683.121126: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.121144: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.121193: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 151683.121273: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151683.121277: tlb_flush: pages:-1 reason:flush on task switch (0)
             awk-6459  [003] .... 151683.121335: tlb_flush: pages:-1 reason:flush on task switch (0)
             awk-6459  [003] .... 151683.121444: tlb_flush: pages:2 reason:local mm shootdown (3)
             awk-6459  [003] .... 151683.121445: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 151683.121519: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6457  [009] .... 151683.121649: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 151683.121739: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151683.121866: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 151683.121891: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151683.121913: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151683.121989: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6457  [009] .... 151683.122487: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122504: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122516: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122527: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122539: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122550: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122561: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122572: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122583: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122594: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122605: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122616: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6457  [009] .... 151683.122627: tlb_flush: pages:1 reason:local mm shootdown (3)
             awk-6459  [004] d... 151683.122638: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6457  [009] .... 151683.122639: tlb_flush: pages:1 reason:local mm shootdown (3)
