# tracer: nop
#
# entries-in-buffer/entries-written: 10325/10325   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-3017  [008] .... 144203.867431: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 144203.867516: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [007] .... 144203.868004: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 144203.868074: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 144203.868290: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144203.868379: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.868395: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.868470: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.880311: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.880383: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.880421: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3018  [008] .... 144203.880465: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3018  [008] .... 144203.880683: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.880685: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 144203.880750: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.880883: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 144203.880970: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.881121: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.881542: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 144203.881544: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.881597: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.892052: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.892170: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.901285: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.901385: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.901929: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.902068: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.913427: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.913602: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.914122: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.914647: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.915135: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3018  [008] .... 144203.915230: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.915246: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.915258: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 144203.915372: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.915478: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.915740: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.915822: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3018  [008] .... 144203.915896: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.915905: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.915921: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.915929: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [008] d... 144203.916017: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.924797: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.924856: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.925575: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 144203.925749: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144203.925786: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [011] .... 144203.925926: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 144203.925932: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144203.926013: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3018  [008] .... 144203.926059: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926094: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926380: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 144203.926451: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144203.926535: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144203.926565: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144203.926613: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144203.926643: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144203.926693: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144203.926728: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144203.926730: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3018  [008] .... 144203.926753: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926763: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926770: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926777: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926784: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926792: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926799: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926806: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926813: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926821: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926828: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926836: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926843: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926850: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926857: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926865: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926872: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926879: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926886: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926893: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926900: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926906: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926913: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926920: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926927: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926934: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926941: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926949: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926956: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926963: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926970: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926977: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926984: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926991: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.926998: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927006: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927013: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927019: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927026: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927032: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927039: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927046: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927053: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927059: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927066: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927072: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927079: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927086: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927092: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927099: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3018  [008] .... 144203.927105: tlb_flush: pages:1 reason:local mm shootdown (3)
