# tracer: nop
#
# entries-in-buffer/entries-written: 29999/29999   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-7804  [004] ....  2326.892670: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  2326.892726: tlb_flush: pages:-1 reason:flush on task switch (0)
          exp.py-7285  [003] ....  2326.893214: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [009] d...  2326.893277: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  2326.893834: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.893859: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d...  2326.893869: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.893966: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.894312: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7805  [010] ....  2326.894378: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7805  [010] ....  2326.894670: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.894672: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d...  2326.894768: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.895249: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  2326.895386: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.895638: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  2326.895732: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.901956: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.902068: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.909902: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.910020: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.910702: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.910836: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.915004: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.915776: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.916256: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7805  [010] ....  2326.916392: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.916417: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.916439: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [010] d...  2326.916614: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.916634: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7805  [010] ....  2326.917175: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.917191: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.917218: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.917231: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [010] d...  2326.917388: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.925763: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.925854: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.932693: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.932983: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d...  2326.933023: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.933116: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [007] ....  2326.933872: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.933902: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.933964: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [007] d...  2326.934338: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7805  [010] ....  2326.934879: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [007] d...  2326.934949: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d...  2326.935051: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d...  2326.935081: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d...  2326.935156: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  2326.935198: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.935242: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  2326.935248: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  2326.935250: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  2326.935260: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d...  2326.935274: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  2326.935276: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d...  2326.935307: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7805  [010] ....  2326.935339: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935350: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935357: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935364: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935371: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935379: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935386: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935393: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935400: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935407: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935414: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935421: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935429: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935436: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935443: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935450: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935457: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935464: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935471: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935478: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935485: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935491: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935498: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935512: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935519: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935526: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935533: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935540: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935547: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935555: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935567: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935574: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935582: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935588: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935595: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935601: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935608: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935615: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935622: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935629: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935636: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935643: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935650: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935656: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935663: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935671: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935677: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935684: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935691: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935698: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935705: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935712: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935719: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935725: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935732: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935739: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935745: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935752: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935759: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935765: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935772: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935779: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935785: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935792: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935800: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935808: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935815: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935822: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935829: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935836: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935844: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935851: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935859: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935867: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935874: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935882: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935890: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935897: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935904: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935912: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935919: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935926: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935934: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935941: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935948: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935955: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935963: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935970: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935977: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935984: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7805  [010] ....  2326.935991: tlb_flush: pages:1 reason:local mm shootdown (3)
