# tracer: nop
#
# entries-in-buffer/entries-written: 25349/25349   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-7289  [003] ....  1411.935627: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d...  1411.935702: tlb_flush: pages:-1 reason:flush on task switch (0)
          exp.py-7285  [001] ....  1411.936177: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [009] d...  1411.936240: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d...  1411.936730: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  1411.936780: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d...  1411.936792: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7290  [010] ....  1411.936879: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7290  [010] ....  1411.937218: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.937220: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d...  1411.937340: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1411.937489: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7290  [010] ....  1411.937859: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.937882: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.937899: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.938827: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.938843: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.938871: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.938884: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [011] d...  1411.939287: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7290  [010] ....  1411.939408: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.939459: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.939923: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [002] d...  1411.940442: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  1411.940480: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d...  1411.940520: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  1411.940544: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [011] ....  1411.940550: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [002] d...  1411.940557: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d...  1411.940576: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7290  [010] ....  1411.940622: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940638: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940651: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940662: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940674: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940686: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940698: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940710: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940722: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940734: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940747: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940759: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.940771: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [005] d...  1411.941096: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7290  [010] ....  1411.941107: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d...  1411.941395: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7290  [010] ....  1411.941399: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.941412: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.941425: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.941437: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.941450: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7290  [010] ....  1411.941461: tlb_flush: pages:1 reason:local mm shootdown (3)
