# tracer: nop
#
# entries-in-buffer/entries-written: 8878/8878   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-8531  [009] .... 155683.047553: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 155683.047655: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [010] .... 155683.048150: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 155683.048199: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 155683.048399: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155683.048451: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.048466: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.048567: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.048657: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8532  [007] .... 155683.048720: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8532  [007] .... 155683.048991: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-8532  [007] .... 155683.048993: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 155683.049505: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.049747: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 155683.049768: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.054929: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.054998: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.062860: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.062928: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.063591: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.063683: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.067977: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.068492: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.069028: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8532  [007] .... 155683.069108: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-8532  [007] .... 155683.069124: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [007] .... 155683.069135: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 155683.069259: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.069368: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.069645: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.069709: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8532  [007] .... 155683.069790: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-8532  [007] .... 155683.069800: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [007] .... 155683.069816: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [007] .... 155683.069824: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [007] d... 155683.069912: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.078492: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.078549: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.085637: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 155683.085863: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.085972: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.086028: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [010] .... 155683.086085: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [007] .... 155683.086463: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 155683.086463: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8532  [007] .... 155683.086498: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [007] .... 155683.086772: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 155683.086840: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 155683.086921: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 155683.086975: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 155683.087314: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155683.087341: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 155683.087380: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 155683.087392: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155683.087415: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 155683.087471: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 155683.087487: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 155683.087549: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 155683.087568: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8532  [003] .... 155683.087606: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087627: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087639: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087650: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087661: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087672: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087684: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087694: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087706: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087717: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087728: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087740: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087751: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087763: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087774: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087786: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087801: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087812: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087824: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087834: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087845: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087856: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087867: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087878: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087889: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087901: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087913: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087924: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087935: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087947: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087982: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.087994: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.088008: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.088019: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.088030: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8532  [003] .... 155683.088041: tlb_flush: pages:1 reason:local mm shootdown (3)
