# tracer: nop
#
# entries-in-buffer/entries-written: 12090/12090   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-5059  [002] .... 148635.334174: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148635.334263: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [003] .... 148635.334835: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 148635.334899: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148635.335084: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148635.335213: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148635.335216: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5060  [004] .... 148635.335441: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5060  [004] .... 148635.335690: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-5060  [004] .... 148635.335692: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 148635.335971: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148635.336211: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148635.338284: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148635.338297: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148635.338494: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148635.338941: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5060  [005] .... 148635.339080: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.339116: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.339136: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.339818: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.339865: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.339893: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.339907: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [005] d... 148635.340362: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148635.340554: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148635.340606: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148635.341273: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148635.341466: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148635.341502: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [004] .... 148635.341645: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [004] d... 148635.341680: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148635.341796: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148635.341851: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148635.341914: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5060  [005] .... 148635.341950: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.341986: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342297: tlb_flush: pages:1 reason:local mm shootdown (3)
  kworker/u129:2-4685  [004] d... 148635.342380: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148635.342470: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148635.342481: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148635.342532: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 148635.342594: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 148635.342692: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-5060  [005] .... 148635.342711: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342722: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342730: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342739: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342747: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342755: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342764: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342772: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342780: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342788: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342796: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342804: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342813: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342834: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342844: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342853: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342861: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342869: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342877: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342885: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342893: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342901: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342910: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342918: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342926: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342934: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342942: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342950: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342958: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342966: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342974: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342982: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342991: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.342999: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343007: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343015: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343023: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343031: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343039: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343046: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343054: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343062: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343070: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343077: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343085: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343093: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343101: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343109: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343116: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343124: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343132: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343140: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343147: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343155: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343163: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343170: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343178: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343185: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343193: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343201: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343209: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343217: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343225: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343233: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343242: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343250: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343258: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343266: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343274: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343282: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343290: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343299: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343307: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343315: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343323: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-5060  [005] .... 148635.343331: tlb_flush: pages:1 reason:local mm shootdown (3)
