# tracer: nop
#
# entries-in-buffer/entries-written: 5788/5788   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-6544  [006] .... 151940.286240: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151940.286276: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [011] .... 151940.286616: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [006] d... 151940.286652: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151940.286826: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 151940.286869: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.286882: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.286920: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.306334: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.306419: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.306456: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6545  [007] .... 151940.306511: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6545  [007] .... 151940.306780: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.306783: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 151940.307233: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.307352: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 151940.307427: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.307896: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.307987: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.318088: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.318187: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.327322: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.327432: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.327940: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.328087: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.339447: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.339750: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.340148: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.340421: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.340925: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6545  [007] .... 151940.341054: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.341079: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.341095: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 151940.341278: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.341297: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6545  [007] .... 151940.341861: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.341876: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.341902: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.341921: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [007] d... 151940.342075: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.350837: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.350927: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 151940.351586: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 151940.352227: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6545  [007] .... 151940.352361: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.352397: tlb_flush: pages:1 reason:local mm shootdown (3)
    tmux: server-7041  [008] .... 151940.352402: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 151940.352469: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6545  [007] .... 151940.352680: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 151940.352763: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 151940.352843: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 151940.352879: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 151940.352929: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 151940.352987: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 151940.353092: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6545  [007] .... 151940.353107: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353117: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353124: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353131: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353139: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353147: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353154: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353161: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353169: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353176: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353183: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353191: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353198: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353205: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353212: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353219: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353227: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353234: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353241: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353248: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353255: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6545  [007] .... 151940.353261: tlb_flush: pages:1 reason:local mm shootdown (3)
