# tracer: nop
#
# entries-in-buffer/entries-written: 12144/12144   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-4975  [000] .... 148382.679974: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.680055: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [004] .... 148382.680593: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 148382.680645: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148382.680865: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148382.680880: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.680887: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148382.680980: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 148382.681061: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4976  [002] .... 148382.681147: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4976  [002] .... 148382.681390: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-4976  [002] .... 148382.681392: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [002] d... 148382.681485: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148382.681621: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.681698: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148382.681811: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.681880: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.682016: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.682119: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.682297: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.682385: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.683010: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.683078: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.683539: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148382.684136: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148382.684148: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4976  [005] .... 148382.684824: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-4976  [005] .... 148382.684850: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [005] .... 148382.684868: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [005] .... 148382.685476: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-4976  [005] .... 148382.685494: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [005] .... 148382.685519: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [005] .... 148382.685533: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [001] d... 148382.686908: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4976  [005] .... 148382.687177: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [005] .... 148382.687222: tlb_flush: pages:1 reason:local mm shootdown (3)
    tmux: server-7041  [001] .... 148382.687224: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 148382.687346: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4976  [005] .... 148382.687668: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 148382.687769: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 148382.687959: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 148382.688025: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 148382.688092: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148382.688124: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 148382.688128: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148382.688214: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 148382.688259: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4976  [007] .... 148382.688332: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688348: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688360: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688371: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688382: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688394: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688406: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688417: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688428: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688439: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688451: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688462: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688473: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688484: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688496: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688508: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688519: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688530: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688541: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688552: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688563: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688574: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688584: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688595: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688605: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688640: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688655: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4976  [007] .... 148382.688991: tlb_flush: pages:1 reason:local mm shootdown (3)
