# tracer: nop
#
# entries-in-buffer/entries-written: 8733/8733   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-1345  [008] .... 140876.230190: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 140876.230277: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [007] .... 140876.230760: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 140876.230830: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 140876.231352: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 140876.231412: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 140876.231429: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1346  [008] .... 140876.232103: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1346  [008] .... 140876.232346: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.232348: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 140876.233579: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 140876.233839: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1346  [008] .... 140876.237082: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.237103: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.237118: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.237867: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.237881: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.237921: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.237933: tlb_flush: pages:20 reason:local mm shootdown (3)
          <idle>-0     [010] d... 140876.239608: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [010] .... 140876.239865: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 140876.240262: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140876.240266: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1346  [008] .... 140876.240369: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 140876.240389: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1346  [008] .... 140876.240415: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.240818: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 140876.241510: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140876.241599: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140876.241630: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140876.241653: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140876.241656: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 140876.241688: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 140876.241713: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 140876.241806: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-1346  [008] .... 140876.241823: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.241833: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.241841: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-1346  [008] .... 140876.241848: tlb_flush: pages:1 reason:local mm shootdown (3)
