# tracer: nop
#
# entries-in-buffer/entries-written: 12999/12999   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-3243  [005] .... 144709.972986: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144709.973065: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [000] .... 144709.973662: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 144709.973706: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144709.973947: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 144709.973949: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 144709.973962: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 144709.974030: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144709.974312: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144709.974401: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144709.974489: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3244  [004] .... 144709.974546: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3244  [004] .... 144709.974796: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-3244  [004] .... 144709.974798: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 144709.975219: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144709.975238: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144709.975310: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144709.975540: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144709.975566: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144709.983533: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144709.983665: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144709.992763: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144709.992872: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144709.993371: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144709.993522: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144710.004904: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144710.005256: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144710.005821: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3244  [005] .... 144710.005944: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-3244  [005] .... 144710.005967: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [005] .... 144710.005986: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 144710.006137: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144710.006157: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3244  [005] .... 144710.006991: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-3244  [005] .... 144710.007002: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [005] .... 144710.007019: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [005] .... 144710.007028: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [005] d... 144710.007120: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144710.016274: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144710.016332: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144710.017057: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144710.017227: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144710.017268: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144710.017374: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [003] .... 144710.017476: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [005] .... 144710.017497: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [005] .... 144710.017527: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 144710.017555: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3244  [005] .... 144710.017816: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 144710.017888: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144710.018006: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144710.018062: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144710.018117: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 144710.018149: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144710.018164: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144710.018251: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144710.018269: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3244  [006] .... 144710.018317: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018333: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018345: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018362: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018373: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018385: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018396: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018407: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018418: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018430: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018441: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018452: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3244  [006] .... 144710.018463: tlb_flush: pages:1 reason:local mm shootdown (3)
