# tracer: nop
#
# entries-in-buffer/entries-written: 11248/11248   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-2877  [000] .... 143822.753592: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 143822.753669: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [005] .... 143822.754182: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [008] d... 143822.754242: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 143822.754489: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 143822.754511: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 143822.754522: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 143822.754593: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 143822.764365: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 143822.764454: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 143822.764538: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-2878  [003] .... 143822.764600: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-2878  [003] .... 143822.764860: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-2878  [003] .... 143822.764863: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 143822.764949: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.765077: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 143822.765195: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 143822.766134: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.768565: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.776103: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.776213: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.785333: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.785449: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.785944: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.786930: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.787383: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-2878  [004] .... 143822.787460: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-2878  [004] .... 143822.787475: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2878  [004] .... 143822.787487: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [004] d... 143822.787585: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.787660: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.787891: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.788003: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-2878  [004] .... 143822.788073: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-2878  [004] .... 143822.788082: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2878  [004] .... 143822.788098: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2878  [004] .... 143822.788106: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [004] d... 143822.788196: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.792181: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.792265: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.792970: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.793143: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 143822.793185: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 143822.793288: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [001] .... 143822.793399: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2878  [004] .... 143822.793415: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2878  [004] .... 143822.793444: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 143822.793487: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-2878  [004] .... 143822.793712: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 143822.793781: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 143822.793900: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 143822.793962: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 143822.794021: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 143822.794035: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 143822.794073: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-2878  [004] .... 143822.794074: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2878  [004] .... 143822.794084: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-2878  [004] .... 143822.794092: tlb_flush: pages:1 reason:local mm shootdown (3)
