# tracer: nop
#
# entries-in-buffer/entries-written: 8439/8439   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-6581  [010] .... 152069.378796: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 152069.378881: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [011] .... 152069.379337: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 152069.379403: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 152069.379934: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 152069.379991: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152069.380006: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6582  [006] .... 152069.380510: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6582  [006] .... 152069.380750: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-6582  [006] .... 152069.380752: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 152069.381256: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 152069.381847: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6582  [006] .... 152069.384970: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-6582  [006] .... 152069.384991: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6582  [006] .... 152069.385007: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6582  [006] .... 152069.385739: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-6582  [006] .... 152069.385754: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6582  [006] .... 152069.385777: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6582  [006] .... 152069.385787: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [010] d... 152069.387024: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [010] .... 152069.387228: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6582  [006] .... 152069.387269: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 152069.387300: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6582  [006] .... 152069.387303: tlb_flush: pages:1 reason:local mm shootdown (3)
