# tracer: nop
#
# entries-in-buffer/entries-written: 7951/7951   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-8821  [003] .... 156321.913925: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 156321.913958: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [000] .... 156321.914606: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 156321.914657: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 156321.915111: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 156321.915117: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156321.915117: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156321.915208: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156321.915256: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8822  [011] .... 156321.915303: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8822  [011] .... 156321.915629: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-8822  [011] .... 156321.915631: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [000] d... 156321.916144: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 156321.916344: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156321.916442: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156321.922796: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156321.928743: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156321.930689: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156321.930759: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 156321.931400: tlb_flush: pages:-1 reason:flush on task switch (0)
