# tracer: nop
#
# entries-in-buffer/entries-written: 12028/12028   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-4642  [001] .... 147627.335747: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 147627.335830: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [002] .... 147627.336315: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 147627.336374: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 147627.336566: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 147627.336694: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.336704: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.336825: tlb_flush: pages:-1 reason:flush on task switch (0)
    kworker/10:0-14342 [010] d... 147627.350715: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.350822: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.350855: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4643  [010] .... 147627.350920: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4643  [010] .... 147627.351305: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-4643  [010] .... 147627.351307: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 147627.351395: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.351536: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 147627.351656: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 147627.351776: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.351893: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.352098: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.352175: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.355856: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.355972: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.365076: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.365787: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.366328: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.366427: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.377239: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.377365: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.377931: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.378115: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.378612: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4643  [010] .... 147627.378699: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-4643  [010] .... 147627.378715: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [010] .... 147627.378727: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 147627.378855: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.378951: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.379262: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.379306: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4643  [010] .... 147627.379389: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-4643  [010] .... 147627.379402: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [010] .... 147627.379418: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [010] .... 147627.379427: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [010] d... 147627.379525: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.388595: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.388653: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.389556: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147627.389739: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.389742: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.389920: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [006] .... 147627.389968: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [006] d... 147627.390044: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4643  [010] .... 147627.390061: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [010] .... 147627.390098: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [010] .... 147627.390397: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [006] d... 147627.390465: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147627.390545: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147627.390581: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147627.390606: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147627.390615: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 147627.390647: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 147627.390692: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 147627.390734: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 147627.390771: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 147627.390781: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 147627.390850: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 147627.390874: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4643  [002] .... 147627.390915: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.390931: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.390943: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.390954: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.390965: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.390979: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.390991: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391002: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391013: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391024: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391035: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391046: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391058: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391069: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391080: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391091: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391102: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391114: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391126: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4643  [002] .... 147627.391136: tlb_flush: pages:1 reason:local mm shootdown (3)
