# tracer: nop
#
# entries-in-buffer/entries-written: 5924/5924   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-6665  [001] .... 152198.553568: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 152198.553649: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [004] .... 152198.554076: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 152198.554140: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 152198.554636: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 152198.554740: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 152198.554754: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 152198.554792: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 152198.570993: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 152198.571075: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 152198.571110: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6666  [005] .... 152198.571158: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6666  [005] .... 152198.571433: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-6666  [005] .... 152198.571435: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [000] d... 152198.571844: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 152198.571855: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 152198.571900: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 152198.572042: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 152198.572056: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 152198.582707: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 152198.582820: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 152198.591933: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 152198.592052: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.592639: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.592783: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.604076: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.604965: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.605123: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6666  [001] .... 152198.605198: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-6666  [001] .... 152198.605213: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6666  [001] .... 152198.605226: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 152198.605330: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.605438: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.605663: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.605790: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-6666  [001] .... 152198.605858: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-6666  [001] .... 152198.605868: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6666  [001] .... 152198.605883: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-6666  [001] .... 152198.605891: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [001] d... 152198.605987: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.615456: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.615536: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.616222: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 152198.616439: tlb_flush: pages:-1 reason:flush on task switch (0)
