# tracer: nop
#
# entries-in-buffer/entries-written: 10986/10986   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-4879  [005] .... 148130.491043: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148130.491131: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [000] .... 148130.491659: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [007] d... 148130.491723: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148130.492262: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 148130.492329: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d... 148130.492339: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 148130.492435: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 148130.492494: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4880  [001] .... 148130.492546: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4880  [001] .... 148130.492799: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-4880  [001] .... 148130.492800: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 148130.492870: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 148130.492981: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148130.493076: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 148130.493237: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148130.493442: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 148130.493478: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148130.493884: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148130.493900: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4880  [004] .... 148130.496458: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-4880  [004] .... 148130.496484: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [004] .... 148130.496502: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [004] .... 148130.497126: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-4880  [004] .... 148130.497142: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [004] .... 148130.497168: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [004] .... 148130.497180: tlb_flush: pages:20 reason:local mm shootdown (3)
          <idle>-0     [003] d... 148130.498791: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4880  [004] .... 148130.498986: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [004] .... 148130.499031: tlb_flush: pages:1 reason:local mm shootdown (3)
    tmux: server-7041  [003] .... 148130.499099: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 148130.499197: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4880  [004] .... 148130.499789: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [003] d... 148130.499828: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148130.500016: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148130.500103: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 148130.500181: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 148130.500250: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 148130.500610: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 148130.500622: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d... 148130.500671: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 148130.500696: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 148130.500716: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 148130.500741: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 148130.500752: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-4880  [009] .... 148130.500839: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500867: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500879: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500891: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500902: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500914: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500926: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500938: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500950: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500962: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500975: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500987: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.500999: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501010: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501023: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501035: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501047: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501059: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501072: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501084: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501096: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501107: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501119: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501130: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501142: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501154: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501166: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501178: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501190: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501202: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501214: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501226: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501240: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501252: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501264: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501275: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501287: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501299: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501310: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501322: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501333: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501345: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-4880  [009] .... 148130.501356: tlb_flush: pages:1 reason:local mm shootdown (3)
